HH1,HH2,LN,MWM1,MWM2,MWM3,MWMINT,MWM4,MWM5,MWM6D,MWM6M,MWM6Y,MWM8,MWM9,MWM17,MWM7H,MWM7M,MWM10H,MWM10M,MWM11,MWM12,MWM13,MWM14,MWM15,MWM22,MWM23,MWM24,MWMHINT,MWMFIN,MWB3M,MWB3Y,MWB4,MWB5,MWB6A,MWB6B,MWB7,MWB9,MWB10A,MWB10B,MWB11,MWB12A,MWB12B,MWB14,MWB15,MWB16,MWB17,MWB18,MWB19A,MWB19B,MWB19C,MWB19D,MWB19E,MWB19F,MWB19X,MWB19NR,MMT1,MMT2,MMT3,MMT4,MMT5,MMT6A,MMT6B,MMT6C,MMT6D,MMT6E,MMT6F,MMT6G,MMT6H,MMT6I,MMT9,MMT10,MMT11,MMT12,MCM1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MCM9,MCM10,MCM11,MCM12,MCM15,MCM16,MCM17,MCM18M,MCM18Y,MDV1A,MDV1B,MDV1C,MDV1D,MDV1E,MVT1,MVT2,MVT3,MVT5,MVT6,MVT7A,MVT7B,MVT7X,MVT7NR,MVT8,MVT9,MVT10,MVT11,MVT12,MVT13,MVT14,MVT17,MVT18A,MVT18B,MVT18X,MVT18NR,MVT19,MVT20,MVT21,MVT22A,MVT22B,MVT22C,MVT22D,MVT22E,MVT22F,MVT22X,MMA1,MMA3,MMA4,MMA5,MMA6,MMA7,MMA8M,MMA8Y,MMA11,MSB1,MSB2U,MSB2N,MSB3,MSB4,MSB6,MSB7,MSB8,MSB9,MSB12,MSB13,MHA1,MHA2,MHA3,MHA4,MHA5,MHA6,MHA7,MHA8A,MHA8B,MHA8C,MHA10,MHA24,MHA25,MHA26,MHA27,MHA28,MHA29,MHA30,MHA31,MHA32,MHA33,MHA34,MHA35,MHA36,MTA1,MTA2,MTA3,MTA4,MTA5,MTA6,MTA7,MTA8A,MTA8B,MTA8C,MTA8D,MTA8X,MTA8NR,MTA9,MTA10,MTA11,MTA12A,MTA12B,MTA12C,MTA12X,MTA12NR,MTA13,MTA14,MTA15,MTA16,MTA17,MLS1,MLS2,MLS3,MLS4,MWM25$1,MWM25$2,MWM25$3,MWM26A$1,MWM26A$2,MWM26A$3,MWM26B$1,MWM26B$2,MWM26B$3,MWM27A$1,MWM27A$2,MWM27A$3,MWM27B$1,MWM27B$2,MWM27B$3,MWM27C$1,MWM27C$2,MWM27C$3,MWM27D$1,MWM27D$2,MWM27D$3,MWM27E$1,MWM27E$2,MWM27E$3,MWM27X$1,MWM27X$2,MWM27X$3,MWM28$1,MWM28$2,MWM28$3,HH4,HH6,HH7,HH7A,MWDOI,MWAGE,MWDOB,MWDOM,MWAGEM,MMSTATUS,mwelevel,minsurance,ethnicity,ethnicity2,mnweight,wscore,windex5,windex10,wscoreu,windex5u,windex10u,wscorer,windex5r,windex10r,PSU,stratum
1,3,3,1,3,3,94,91,94,19,11,2020,2,1,1,21,12,21,21,1,1,1,1,3,2,2, ,94,3,8,1996,24,1,5, , , , , , , , , ,95, , ,1,A, , , , , , , ,1,1,3,1,3,1,2,2,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,9,8,1,2, ,1,2, , , , ,3,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,1,1,1,2,8,2, , ,2,2, ,8,8,1,1,8,8,1,1,17,1,15,30,1,1, ,B, , , , ,10,1,2, , , , , , ,1,15,10,3,3,6,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,2,1160, , ,3,5,1,1,1,1.29697234764852,1.10198870169457,5,10,1.0041779447365,5,9, , , ,1,17
1,9,3,1,9,3,94,91,94,19,11,2020,2,1,1,9,48,9,48,1,1,1,1,3,2,1,1,92,3,9,1990,30,1,3,12,1, , , , , , , ,95, , ,1,A, , , , ,F, , ,2,1,3,1,0, , , , , , , , , ,1,2,1,3,1,1,1,0,2, , ,2, , ,1,1, , , ,3,2015,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,3,2,2,2,2,2,2,2,2,1,2, , , ,1,4,2014, ,20,2,5,2,1, ,2, , , , ,1,1,2,1,2,2,2,1,1,2,8,2, , ,2,2, ,2,2,1,1,2,2,1,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,10,10,4,3,8,2,1,1, , ,2, , ,3, , , , , , , , , , , ,D, , ,E, , , , , ,2, , ,91,1,1,1,1451,4,1089,1372,23,1,3,1,1,1,.767972491156238,1.07916256028966,5,10,.956223866154742,5,9, , , ,1,17
1,11,3,1,11,3,91,91,91,20,11,2020,2,1,1,8,41,9,5,1,1,1,1,3,2,2, ,92,3,2,1973,47,1,3,12,1, , , , , , , ,95, , ,1,A, , , , , , , ,3,1,1,1,2,1,2,1,1,2,1,2,2,2, ,3,1,3,1,1,1,1,2, , ,2, , ,2,1,1, ,27,3,2008,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,1,1,2,2,2,2,2,2,2,1,2, , , ,1,11,1998, ,24,1,2,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,2,2,1,3,1, ,2, ,8,1,8,2,1,2,2,1,20,2, , ,2, , , , , , , , ,2, , , , , , , ,1,18,10,10,2,8,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,7,878,1187,25,1,3,1,1,1,.750508576984619,1.36458103459646,5,10,1.55584250965642,5,10, , , ,1,17
1,13,4,1,13,4,91,91,91,19,11,2020,2,1,1,10,8,10,18,1,1,1,1,3,2,1,1,92,3,7,1992,28,1,5, , , , , , , , , ,95, , ,1,A, , , , , , , ,3,1,3,1,3,1,1,1,1,1,1,2,1,2, ,3,1,3,1,1,0,1,2, , ,2, , ,1,1, , , ,8,2019,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,8,2017, ,24,2,1,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,2,2,2, , ,1,2, ,1,1,1,1,1,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,20,4,20,2,8,1,1,1, , ,2, , ,6, , , , , , , , , , , ,D, , , , , , , , ,2, , ,91,1,1,1,1451,3,1111,1412,25,1,5,1,1,1,.965686962415506,1.18605908314405,5,10,1.18079639315977,5,9, , , ,1,17
1,13,5,1,13,5,91,91,91,19,11,2020,2,1,1,12,7,12,20,1,1,1,1,3,2,1,1,92,3,9,1987,33,1,2,6,1, , , , , , , ,95, , ,2, , , , , , , , ,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,3,1,3,1,1,1,0,2, , ,2, , ,1,1, , , ,3,2017,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,3,2016, ,25,3,1,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,2,2,1,3,1, ,2, ,1,1,1,1,2,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,20,3,10,2,8,1,1,1, , ,2, , ,5, , , , , , , , , , , , , , ,E, , , , , ,2, , ,91,1,1,1,1451,4,1053,1395,28,1,2,2,1,1,.767972491156238,1.18605908314405,5,10,1.18079639315977,5,9, , , ,1,17
1,19,3,1,19,3,94,91,94,19,11,2020,2,1,1,17,2,17,3,1,1,1,1,3,2,1,1,93,3,6,1984,36,1,5, , , , , , , , , ,95, , ,1,A, , , , ,F, , ,2,0,3,1,3,1,1,1,2,2,1,2,1,2, ,3,1,3,1,1,1,0,2, , ,2, , ,1,1, , , ,7,2017,2,8,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,1,2, , , ,1,10,2014, ,23,2,5,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,8,8,2, , ,2,2, ,1,2,1,1,1,2,1,1,15,1,10,30,1,1, ,B, , , , ,5,2, , , , , , , ,1,25,2,2,2,8,2,1,1, , ,2, , ,3, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,5,1014,1378,30,1,5,1,1,1,.740412284485091,1.43884009659207,5,10,1.71184894242032,5,10, , , ,1,17
2,3,1,2,3,1,91,91,91,21,11,2020,1,1,1,14,33,14,39,1,1,1,1,3,1, , ,91,3,12,1974,45,1,3,12,1, , , , , , , ,95, , ,2, , , , , , , , ,1,0,2,1,0, , , , , , , , , ,1,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,25,3,1,1,4,32,1,1,3,30,1,1,1,2,1,2,2,1,1,1,2,2,2, , ,1,2, ,1,1,2,2,1,2,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,19,10,20,2,7,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,7,900, , ,3,3,2,1,1,1.09856622136642,1.04993204671157,5,10,.89481522418397,4,8, , , ,2,17
2,5,2,2,5,2,94,91,94,22,11,2020,2,1,1,21,37,21,42,1,1,1,1,3,2,1,1,92,3,9,1975,45,1,2,6,1, , , , , , , ,95, , ,1,A, , , , , , , ,1,2,3,2, , , , , , , , , , ,1,3,1,3,1,2, , ,1,1,1,2, , ,2,1,1, ,30,6,2009,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,1,2, , , ,1,8,2003, ,24,2,7,2,1, ,2, , , , ,1,1,2,1,2,2,1,8,8,8, ,2, , ,2,2, ,8,8,8,1,1,1,8,1,15,1,6,30,2, , , , , , , , ,2, , , , , , , ,1,20,30,5,3,9,2,2,1, , ,1, , ,2, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,7,909,1244,27,1,2,1,1,1,.561961151626794,.559013195472621,3,6,-.136526900267602,2,4, , , ,2,17
2,7,1,2,7,1,91,91,91,23,11,2020,2,1,1,11,15,11,27,1,1,1,1,3,2,1,1,93,3,10,1976,44,1,2,6,1, , , , , , , ,5,3,2,2, , , , , , , , ,0,0,1,2, , , , , , , , , , ,1,1,1,3,1,2, , ,1,2,0,2, , ,2,1,1, ,24,9,2006,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,8,1999, ,23,1,1,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,2,2,2, , ,2,2, ,1,1,2,1,2,2,2,1,15,2, , ,1,2, , , , , , , ,2, , , , , , , ,1,16,8,10,2,9,1,1,1, , ,2, , ,1, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,6,922,1196,22,1,2,2,1,1,.536522659170295,.020512928634468,2,3,-1.26782998186036,1,1, , , ,2,17
2,9,1,2,9,1,94,91,94,21,11,2020,1,1,1,14,17,14,30,1,1,1,1,3, , , ,94,3,9,1974,46,1,3,11,1, , , , , , , ,95, , ,1,A, , , , , , , ,1,0,3,1,2,1,2,1,2,2,1,2,2,2, ,2,1,3,1,1,1,1,2, , ,2, , ,2,1,1, ,28,12,2003,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,1,2,2,2,2,2,2,2,1,2, , , ,1,1,2001, ,20,2,6,2,1, ,2, , , , ,1,1,2,1,8,2,8,1,1,2,2,2, , ,2,2, ,1,1,1,1,1,2,8,1,15,1,6,30,2, , , , , , , , ,1,2, , , , , , ,1,20,2,1,1,9,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,91,1,1,1,1451,7,897,1213,26,1,3,1,1,1,.865676382522505,.336383359783974,2,4,-.604236639109299,1,2, , , ,2,17
2,9,3,2,9,3,94,91,94,21,11,2020,2,1,1,16,29,16,29,1,1,1,1,3,2,1,1,94,3,5,2002,18,1,3,10,2,2, , ,2, , , ,95, , ,2, , , , , , , , ,0,0,3,1,2,2,1,1,2,2,1,2,2,2, ,3,1,3,2, , , , , , ,2, , ,0,1, , , , , ,8,8,8,8,8,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,3, , ,3, , , , , ,0, , , , , , , , , , ,1,1,2,1,2,2,1,8,8,8, ,2, , ,2,2, ,1,8,1,1,1,8,8,2, , , , ,2, , , , , , , , ,2, , , , , , , ,2, , , ,3,5,2,1,1, , ,2, , ,3, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,1,1229, , ,3,3,2,1,1,1.18485125085197,.336383359783974,2,4,-.604236639109299,1,2, , , ,2,17
2,15,3,2,15,3,94,91,94,22,11,2020,2,1,1,16,50,17,11,1,1,1,1,3,2,1,1,93,3,11,1992,28,1,5, , , , , , , , , ,95, , ,1,A, , , , , , , ,1,0,3,1,2,1,1,1,2,2,1,2,2,2, ,3,1,3,1,1,2,0,2, , ,2, , ,2,1,1, ,25,9,2020,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,8,2016, ,25,1,1,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,2,8,2, , ,2,2, ,1,1,1,1,8,8,2,1,15,2, , ,2, , , , , , , , ,2, , , , , , , ,1,18,10,3,3,7,2,2,1, , ,2, , ,3, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,3,1115,1400,23,1,5,1,1,1,.845658074431658,1.23926367430778,5,10,1.29257074434408,5,10, , , ,2,17
2,17,5,2,17,5,94,91,94,22,11,2020,2,1,1,17,30,17,39,1,1,1,1,3,2,1,1,94,3,8,1987,33,1,3,12,1, , , , , , , ,0,3,2,1,A, , , , , , , ,2,0,3,1,2,2,2,2,2,2,1,2,2,2, ,3,1,3,1,1,1,1,2, , ,2, , ,2,1,1, ,26,6,2019,2,2,2,2,2,2, , , , , , , , , ,2, , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,1,2, , , ,1,10,2013, ,19,2,4,2,1, ,2, , , , ,1,1,2,1,2,2,1,1,1,8,8,2, , ,2,2, ,8,8,1,1,1,8,2,2, , , , ,2, , , , , , , , ,2, , , , , , , ,1,20,2,1,2,8,2,1,1, , ,2, , ,5, , , , , , , , ,C, , , , , , , , , , , ,2, , ,91,1,1,1,1451,4,1052,1366,26,1,3,1,1,1,.672518283215915,.997401966049062,5,9,.784457911867778,4,8, , , ,2,17
