"age_first_marriage","marital_status","area","region","education_level","health_insurance","ethnicity","wealth_index","current_contraceptive_use","awareness_hiv_aids","access_to_media"
23,1,1,1,5,1,1,5,0,1,1
17,1,1,1,2,1,1,2,1,1,1
23,1,1,1,5,1,1,5,0,1,1
22,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
27,1,1,1,4,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
21,1,1,1,3,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
18,1,1,1,1,1,1,5,0,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
22,1,1,1,4,1,1,5,1,1,1
NA,3,1,1,5,0,1,4,0,1,1
NA,3,1,1,5,0,1,4,0,1,1
19,1,1,1,2,1,1,5,1,1,1
19,1,1,1,2,1,1,2,1,1,1
27,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
23,1,1,1,1,1,1,2,1,1,1
NA,3,1,1,3,1,1,2,0,1,1
28,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,4,0,1,1
27,1,1,1,3,1,1,4,1,1,1
31,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,4,1,1,5,0,1,1
NA,3,1,1,3,0,1,5,1,1,1
19,1,1,1,3,0,1,5,1,1,1
28,1,1,1,5,1,1,5,1,1,1
21,1,1,1,2,0,1,1,1,1,1
21,1,1,1,1,0,1,1,1,0,1
22,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,0,1,5,0,1,1
31,1,1,1,3,1,1,4,0,1,1
21,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
27,2,1,1,3,1,1,5,0,1,1
NA,3,1,1,3,1,1,4,0,1,1
26,1,1,1,5,1,1,4,NA,1,1
25,1,1,1,2,1,1,5,1,1,1
NA,3,1,1,3,0,1,5,0,1,1
23,1,1,1,5,1,1,3,NA,1,1
22,1,1,1,4,1,1,5,1,1,1
28,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
20,1,1,1,4,1,1,5,1,1,1
19,1,1,1,NA,NA,1,NA,NA,NA,NA
25,1,1,1,4,1,1,5,1,1,1
24,1,1,1,NA,NA,1,NA,NA,NA,NA
22,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
19,1,1,1,3,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
23,1,1,1,NA,NA,1,NA,NA,NA,NA
25,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,0,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
21,1,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,NA,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
29,1,1,1,5,1,1,5,1,1,1
25,1,1,1,3,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
22,1,1,1,3,0,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,2,0,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
33,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
26,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
21,1,1,1,NA,NA,1,NA,NA,NA,NA
23,1,1,1,5,1,1,5,0,1,1
23,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,3,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
23,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
17,1,1,1,2,1,1,5,1,1,1
NA,3,1,1,3,0,1,5,0,1,1
21,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
23,1,1,1,5,1,1,5,NA,1,1
23,1,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
23,1,1,1,3,1,1,5,0,1,1
26,1,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,NA,NA,1,NA,NA,NA,NA
NA,3,1,1,3,1,1,2,0,1,1
19,1,1,1,2,0,1,5,0,1,1
NA,3,1,1,5,1,1,3,0,1,1
NA,3,1,1,5,1,1,3,0,1,1
21,1,1,1,3,1,1,5,1,1,1
31,1,1,1,3,1,1,5,1,1,1
18,1,1,1,3,0,1,5,1,1,1
22,1,1,1,3,0,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
25,2,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
NA,3,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,4,1,1,1
25,1,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
28,1,1,1,5,1,1,5,1,1,1
21,1,1,1,5,1,1,5,1,1,1
27,1,1,1,5,1,1,5,1,1,1
19,1,1,1,0,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
22,1,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,0,1,1
25,1,1,1,5,1,1,5,1,1,1
28,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,0,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
24,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,0,1,1
26,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
20,1,1,1,5,1,1,5,1,1,1
24,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
25,1,1,1,5,1,1,5,1,1,1
26,1,1,1,5,1,1,5,1,1,1
NA,3,1,1,5,1,1,5,0,1,1
