"child_marriage","child_marriage_u15","age_first_marriage","area","region","marital_status","education_level","health_insurance","ethnicity","wealth_index","contraceptive_decision_maker","current_contraceptive_use","age_first_sexual_intercourse","currently_married","partner_age","awareness_hiv_aids","used_computer_tablet","used_internet","owns_mobile_phone","access_to_media"
0,0,23,1,1,1,5,1,1,5,NA,2,18,1,40,1,1,NA,1,1
1,0,17,1,1,1,2,1,1,2,1,1,18,1,27,1,2,1,1,1
0,0,23,1,1,1,5,1,1,5,NA,2,23,1,30,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,3,1,22,1,42,1,2,1,1,1
0,0,26,1,1,1,5,1,1,5,1,1,25,1,47,1,1,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,2,1,23,1,46,1,1,NA,1,1
0,0,27,1,1,1,4,1,1,5,NA,2,26,1,33,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,22,1,28,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,1,1,1
0,0,21,1,1,1,3,1,1,5,1,1,95,1,50,1,2,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,20,3,NA,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,16,1,36,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,95,1,42,1,1,NA,1,1
0,0,18,1,1,1,1,1,1,5,NA,2,19,1,55,1,2,1,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,22,1,1,1,4,1,1,5,3,1,24,1,36,1,2,1,1,1
NA,NA,NA,1,1,3,5,2,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,2,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,19,1,1,1,2,1,1,5,3,1,20,1,41,1,2,1,1,1
0,0,19,1,1,1,2,1,1,2,1,1,19,1,44,1,2,1,1,1
0,0,27,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,23,1,1,1,1,1,1,2,1,1,95,1,46,1,2,2,1,1
NA,NA,NA,1,1,3,3,1,1,2,NA,2,0,3,NA,1,1,1,1,1
0,0,28,1,1,1,5,1,1,5,2,1,23,1,37,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,4,NA,2,0,3,NA,1,2,2,1,1
0,0,27,1,1,1,3,1,1,4,3,1,20,1,40,1,1,NA,1,1
